Paris;48.8567;2.3522
Bordeaux;44.8400;-0.5800
Marseille;43.2964;5.3700
Lyon;45.7600;4.8400
Toulouse;43.6045;1.4440
Nice;43.7034;7.2663
Nantes;47.2181;-1.5528
Montpellier;43.6119;3.8772
Strasbourg;48.5833;7.7458
Lille;50.6278;3.0583
Rennes;48.1147;-1.6794
Toulon;43.1258;5.9306
Reims;49.2628;4.0347
Saint-Étienne;45.4347;4.3903
Le Havre;49.4900;0.1000
Dijon;47.3167;5.0167
Grenoble;45.1715;5.7224
Angers;47.4736;-0.5542
Villeurbanne;45.7667;4.8803
Nîmes;43.8383;4.3597
Aix-en-Provence;43.5263;5.4454
Clermont-Ferrand;45.7831;3.0824
Le Mans;48.0077;0.1984
Brest;48.3900;-4.4900
Tours;47.3936;0.6892
Amiens;49.8920;2.2990
Annecy;45.9160;6.1330
Limoges;45.8353;1.2625
Metz;49.1203;6.1778
Boulogne-Billancourt;48.8352;2.2409
Perpignan;42.6986;2.8956
Besançon;47.2400;6.0200
Orléans;47.9025;1.9090
Rouen;49.4428;1.0886
Saint-Denis;48.9356;2.3539
Montreuil;48.8611;2.4436
Caen;49.1814;-0.3636
Argenteuil;48.9500;2.2500
Mulhouse;47.7500;7.3400
Nancy;48.6936;6.1846
Tourcoing;50.7239;3.1612
Roubaix;50.6901;3.1817
Nanterre;48.8988;2.1969
Vitry-sur-Seine;48.7875;2.3928
Créteil;48.7911;2.4628
Poitiers;46.5800;0.3400
Aubervilliers;48.9131;2.3831
Colombes;48.9236;2.2522
Dunkerque;51.0383;2.3775
Aulnay-sous-Bois;48.9386;2.4906
Versailles;48.8053;2.1350
Courbevoic;48.8978;2.2531
La Rochelle;46.1600;-1.1500
Rueil-Malmaison;48.8760;2.1810
Champigny-sur-Marne;48.8172;2.5156
Pau;43.3000;-0.3700
Mérignac;44.8386;-0.6436
Saint-Maur-des-Fossés;48.7994;2.4997
Antibes;43.5808;7.1239
Cannes;43.5513;7.0128
Saint-Nazaire;47.2736;-2.2139
Drancy;48.9300;2.4500
Noisy-le-Grand;48.8478;2.5528
Issy-les-Moulineaux;48.8239;2.2700
Cergy;49.0361;2.0631
Levallois-Perret;48.8950;2.2872
Calais;50.9481;1.8564
Pessac;44.8067;-0.6311
Vénissieux;45.6969;4.8858
Clichy;48.9044;2.3064
Valence;44.9333;4.8917
Ivry-sur-Seine;48.8078;2.3747
Antony;48.7539;2.2975
Troyes;48.2997;4.0792
La Seyne-sur-Mer;43.1000;5.8830
Pantin;48.8966;2.4017
Chambéry;45.5700;5.9118
Neuilly-sur-Seine;48.8881;2.2686
Sarcelles;48.9956;2.3808
Le Blanc-Mesnil;48.9387;2.4614
Maisons-Alfort;48.8058;2.4378
Lorient;47.7500;-3.3600
Villejuif;48.7919;2.3636
Bellevue;48.8710;2.3850
Beauvais;49.4303;2.0952
Meaux;48.9603;2.8883
Bobigny;48.9106;2.4397
Clamart;48.8014;2.2628
Vannes;47.6559;-2.7603
Chelles;48.8833;2.6000
Évry;48.6238;2.4296
Épinay-sur-Seine;48.9553;2.3092
Saint-Ouen;48.9123;2.3342
Saint-Quentin;49.8486;3.2864
Bondy;48.9022;2.4828
Bayonne;43.4900;-1.4800
Corbeil-Essonnes;48.6139;2.4820
Cagnes-sur-Mer;43.6644;7.1489
Vaulx-en-Velin;45.7768;4.9186
Sevran;48.9333;2.5333
